PING 172.31.47.114 (172.31.47.114) 56(84) bytes of data.
64 bytes from 172.31.47.114: icmp_seq=199 ttl=127 time=0.305 ms
64 bytes from 172.31.47.114: icmp_seq=200 ttl=127 time=0.298 ms
64 bytes from 172.31.47.114: icmp_seq=201 ttl=127 time=0.284 ms
64 bytes from 172.31.47.114: icmp_seq=202 ttl=127 time=0.440 ms
64 bytes from 172.31.47.114: icmp_seq=203 ttl=127 time=0.368 ms
64 bytes from 172.31.47.114: icmp_seq=204 ttl=127 time=0.303 ms
64 bytes from 172.31.47.114: icmp_seq=205 ttl=127 time=0.341 ms
64 bytes from 172.31.47.114: icmp_seq=206 ttl=127 time=0.306 ms
64 bytes from 172.31.47.114: icmp_seq=207 ttl=127 time=0.365 ms
64 bytes from 172.31.47.114: icmp_seq=208 ttl=127 time=0.361 ms
64 bytes from 172.31.47.114: icmp_seq=209 ttl=127 time=0.310 ms
64 bytes from 172.31.47.114: icmp_seq=210 ttl=127 time=0.325 ms
64 bytes from 172.31.47.114: icmp_seq=211 ttl=127 time=0.350 ms
64 bytes from 172.31.47.114: icmp_seq=212 ttl=127 time=0.474 ms
64 bytes from 172.31.47.114: icmp_seq=213 ttl=127 time=0.335 ms
64 bytes from 172.31.47.114: icmp_seq=214 ttl=127 time=0.390 ms
64 bytes from 172.31.47.114: icmp_seq=215 ttl=127 time=0.319 ms
64 bytes from 172.31.47.114: icmp_seq=216 ttl=127 time=0.410 ms
64 bytes from 172.31.47.114: icmp_seq=217 ttl=127 time=0.330 ms
64 bytes from 172.31.47.114: icmp_seq=218 ttl=127 time=0.310 ms
64 bytes from 172.31.47.114: icmp_seq=219 ttl=127 time=0.317 ms
64 bytes from 172.31.47.114: icmp_seq=220 ttl=127 time=0.330 ms
64 bytes from 172.31.47.114: icmp_seq=221 ttl=127 time=0.315 ms
64 bytes from 172.31.47.114: icmp_seq=222 ttl=127 time=0.302 ms
64 bytes from 172.31.47.114: icmp_seq=223 ttl=127 time=0.388 ms
64 bytes from 172.31.47.114: icmp_seq=224 ttl=127 time=0.295 ms
64 bytes from 172.31.47.114: icmp_seq=225 ttl=127 time=0.303 ms
64 bytes from 172.31.47.114: icmp_seq=226 ttl=127 time=0.293 ms
64 bytes from 172.31.47.114: icmp_seq=227 ttl=127 time=0.307 ms
64 bytes from 172.31.47.114: icmp_seq=228 ttl=127 time=0.357 ms
64 bytes from 172.31.47.114: icmp_seq=229 ttl=127 time=0.366 ms
64 bytes from 172.31.47.114: icmp_seq=230 ttl=127 time=0.288 ms
64 bytes from 172.31.47.114: icmp_seq=231 ttl=127 time=0.418 ms
64 bytes from 172.31.47.114: icmp_seq=232 ttl=127 time=0.418 ms
64 bytes from 172.31.47.114: icmp_seq=233 ttl=127 time=0.297 ms
64 bytes from 172.31.47.114: icmp_seq=234 ttl=127 time=0.357 ms
64 bytes from 172.31.47.114: icmp_seq=235 ttl=127 time=0.300 ms
64 bytes from 172.31.47.114: icmp_seq=236 ttl=127 time=0.465 ms
64 bytes from 172.31.47.114: icmp_seq=237 ttl=127 time=0.448 ms
64 bytes from 172.31.47.114: icmp_seq=238 ttl=127 time=0.373 ms
64 bytes from 172.31.47.114: icmp_seq=239 ttl=127 time=0.313 ms
64 bytes from 172.31.47.114: icmp_seq=240 ttl=127 time=0.305 ms
64 bytes from 172.31.47.114: icmp_seq=241 ttl=127 time=0.442 ms
64 bytes from 172.31.47.114: icmp_seq=242 ttl=127 time=0.336 ms
64 bytes from 172.31.47.114: icmp_seq=243 ttl=127 time=0.317 ms
64 bytes from 172.31.47.114: icmp_seq=244 ttl=127 time=0.305 ms
64 bytes from 172.31.47.114: icmp_seq=245 ttl=127 time=0.312 ms
64 bytes from 172.31.47.114: icmp_seq=246 ttl=127 time=0.334 ms
64 bytes from 172.31.47.114: icmp_seq=247 ttl=127 time=0.367 ms
64 bytes from 172.31.47.114: icmp_seq=248 ttl=127 time=0.376 ms
64 bytes from 172.31.47.114: icmp_seq=249 ttl=127 time=0.316 ms
64 bytes from 172.31.47.114: icmp_seq=250 ttl=127 time=0.321 ms
64 bytes from 172.31.47.114: icmp_seq=251 ttl=127 time=0.306 ms
64 bytes from 172.31.47.114: icmp_seq=252 ttl=127 time=0.321 ms
64 bytes from 172.31.47.114: icmp_seq=253 ttl=127 time=0.317 ms
64 bytes from 172.31.47.114: icmp_seq=254 ttl=127 time=0.315 ms
64 bytes from 172.31.47.114: icmp_seq=255 ttl=127 time=0.306 ms
64 bytes from 172.31.47.114: icmp_seq=256 ttl=127 time=0.390 ms
64 bytes from 172.31.47.114: icmp_seq=257 ttl=127 time=0.314 ms
64 bytes from 172.31.47.114: icmp_seq=258 ttl=127 time=0.304 ms
